text,label
I was charged twice on my credit card.,Billing Issue
The product arrived broken.,Product Defect
Your agent was rude on the phone.,Customer Service Issue
My package is still not here after 2 weeks.,Shipping Delay
The refund you processed is incorrect.,Billing Issue
The laptop isn't turning on at all.,Product Defect
I waited 45 minutes for someone to pick up.,Customer Service Issue
The tracking number hasn’t updated since Monday.,Shipping Delay
I was charged twice for my subscription.,Billing Issue
My bill increased this month for no reason.,Billing Issue
I canceled already but I'm still being billed.,Billing Issue
I didn't receive the discount you advertised.,Billing Issue
My card was charged even though the order failed.,Billing Issue
I was billed an extra fee I didn't agree to.,Billing Issue
The invoice amount doesn't match the price I saw.,Billing Issue
I paid yesterday but it's still showing unpaid.,Billing Issue
I shouldn't be billed for a product I returned.,Billing Issue
Why is there an additional service fee?,Billing Issue
My payment didn’t go through but my bank was charged.,Billing Issue
I'm being billed monthly but I only signed up for trial.,Billing Issue
The billing date changed without informing me.,Billing Issue
My refund was deducted incorrectly.,Billing Issue
You billed me after I unsubscribed.,Billing Issue
The blender stopped working after one use.,Product Defect
My headphones produce static noise.,Product Defect
The laptop won't turn on anymore.,Product Defect
The screen cracked even though I handled it carefully.,Product Defect
The product smells burnt when I plug it in.,Product Defect
The charger overheats and doesn't work.,Product Defect
The buttons on the remote aren't responding.,Product Defect
The item I received has scratches.,Product Defect
The vacuum cleaner keeps shutting off.,Product Defect
The speaker audio is distorted.,Product Defect
The keyboard keys are sticking.,Product Defect
The monitor has dead pixels.,Product Defect
The fan makes loud clicking sounds.,Product Defect
The smartwatch battery drains in an hour.,Product Defect
The sewing machine jams constantly.,Product Defect
Your support agent was rude to me.,Customer Service Issue
I waited 30 minutes on the phone and nobody answered.,Customer Service Issue
The chat agent ignored my question.,Customer Service Issue
The representative hung up on me.,Customer Service Issue
I keep getting transferred and no one helps.,Customer Service Issue
The agent wasn't knowledgeable about the product.,Customer Service Issue
I received unprofessional responses from support.,Customer Service Issue
The support team is not responding to my emails.,Customer Service Issue
I felt disrespected by the staff.,Customer Service Issue
I was promised a callback but never received one.,Customer Service Issue
The support team keeps giving me conflicting answers.,Customer Service Issue
The agent rushed through the call and didn’t help.,Customer Service Issue
I got attitude from the representative.,Customer Service Issue
They closed my ticket without solving the issue.,Customer Service Issue
I had to explain my problem multiple times to different agents.,Customer Service Issue
My package still hasn't arrived after 10 days.,Shipping Delay
The tracking hasn't updated in a week.,Shipping Delay
My order is stuck in transit.,Shipping Delay
The delivery date was changed without notice.,Shipping Delay
The courier keeps delaying my package.,Shipping Delay
My order is marked delivered but nothing arrived.,Shipping Delay
The shipping is taking much longer than expected.,Shipping Delay
The package went to the wrong distribution center.,Shipping Delay
My order is delayed due to unknown reasons.,Shipping Delay
The product is still pending shipment.,Shipping Delay
I haven't received any updates from the courier.,Shipping Delay
The parcel is stuck in customs.,Shipping Delay
The shipment keeps getting rescheduled.,Shipping Delay
My delivery was postponed twice.,Shipping Delay
The courier lost my package.,Shipping Delay
