text,label
Your staff gave me completely incorrect information.,Customer Service Issue
The smartwatch assault and battery drain in an hr.,Product Defect
The item arrived with a massive crack down the center.,Product Defect
The monitor has dead pixels.,Product Defect
The laptop international relations and security network ' t turn on at all.,Product Defect
The product smells burned over when I plug information technology in.,Product Defect
The buttons on the remote aren't responding.,Product Defect
The laptop won't turn on anymore.,Product Defect
This product looks nothing like the pictures online. Cheap material.,Product Defect
My payment didn ’ triiodothyronine go through with but my bank be charge.,Billing Issue
I didn ' t get the discount you publicize.,Billing Issue
Iodine haven ' t received any update from the messenger.,Shipping Delay
It is impossible to reach a real person at this company.,Customer Service Issue
I was hung up on while explaining my problem.,Customer Service Issue
The particular I receive possess scratches.,Product Defect
The charger overheats and doesn't work.,Product Defect
The speaker unit audio recording is distorted.,Product Defect
Iodine found a tear in the fabric of the couch.,Product Defect
The agent rushed through the call and didn’t help.,Customer Service Issue
Information technology equal inconceivable to reach a real person at this company.,Customer Service Issue
My order personify delayed imputable to unknown reasons.,Shipping Delay
The fan make flash clicking sound.,Product Defect
The courier keeps detain my package.,Shipping Delay
I keep getting transferred and no one helps.,Customer Service Issue
No one has answer to my emails for ternion days.,Customer Service Issue
Manner of speaking is take way farseeing than the estimated time.,Shipping Delay
I was rouse twice for my subscription.,Billing Issue
I didn ' t receive the discount you advertised.,Billing Issue
The vacuum cleaner keeps shutting off.,Product Defect
The discount code I used wasn't applied to the final total.,Billing Issue
Why did the price increase in my recurring bill?,Billing Issue
Wherefore is thither an additional armed service fee?,Billing Issue
My order was supposed to be here last week where is it?,Shipping Delay
The delivery date was changed without notice.,Shipping Delay
Your keep agent was rude to me.,Customer Service Issue
My package is still not hither after 2 week.,Shipping Delay
Worst customer support experience One have ever experience.,Customer Service Issue
1 am very disappointed with the want of communication.,Customer Service Issue
The product arrived broken.,Product Defect
My headphones grow static noise.,Product Defect
The product smells burnt when I plug it in.,Product Defect
I haven't received my refund yet it's been 10 business days.,Billing Issue
The backing agent didn ' tonne appear to know how the cartesian product works.,Customer Service Issue
One felt disrespect by the faculty.,Customer Service Issue
Single shouldn ' t be billed for a product Iodin returned.,Billing Issue
The product be still pending consignment.,Shipping Delay
Your agent was rude on the phone.,Customer Service Issue
I haven ' t received my repayment yet information technology ' s exist 10 business days.,Billing Issue
My package still hasn ' thymine arrive after x day.,Shipping Delay
The proctor have dead pixels.,Product Defect
My credit card was charged but the order didn't go through.,Billing Issue
I shouldn't be billed for a product I returned.,Billing Issue
The production get broken.,Product Defect
Atomic number 53 need this for a natal day tomorrow and it hasn ' t shipped yet.,Shipping Delay
The keyboard keys represent sticking.,Product Defect
My order make up supposed to represent here final week where is it?,Shipping Delay
The fan makes loud clicking sounds.,Product Defect
Iodine be promised a callback only never received one.,Customer Service Issue
Please invalidate my subscription I don ' tonne want to be charged over again.,Billing Issue
The discount code Atomic number 53 used wasn ' t implement to the last total.,Billing Issue
The support squad is not respond to my emails.,Customer Service Issue
The support squad sustain consecrate me conflicting answers.,Customer Service Issue
The invoice amount doesn't match the price I saw.,Billing Issue
The vacuum cleaner living keep out murder.,Product Defect
This product look zip like the picture online. Cheap material.,Product Defect
The voice hung up on me.,Customer Service Issue
The charge day of the month changed without informing me.,Billing Issue
I waited 30 arcminute on the phone and nonentity answered.,Customer Service Issue
You billed me for the wrong item.,Billing Issue
My credit card was file but the order didn ' liothyronine conk through with.,Billing Issue
I make up yesterday just it ' due south still showing unpaid.,Billing Issue
You billed me after I unsubscribed.,Billing Issue
I was charged twice on my credit card.,Billing Issue
The package operate to the wrong dispersion center.,Shipping Delay
Atomic number 53 haven ' t receive my refund even information technology ' s constitute 10 business days.,Billing Issue
I was billed an extra fee I didn't agree to.,Billing Issue
The living agent didn ' t appear to experience how the product works.,Customer Service Issue
The screen does not turn on even after charging.,Product Defect
Your agent be rude on the phone.,Customer Service Issue
I didn't receive the discount you advertised.,Billing Issue
You placard me for the wrong item.,Billing Issue
The sewing auto jams always.,Product Defect
I shouldn ' t live bill for a ware I returned.,Billing Issue
The shipping is taking much longer than expected.,Shipping Delay
The tracking number hasn't updated in 5 days.,Shipping Delay
The colour be completely faded compared to what be advertise.,Product Defect
The courier keeps delaying my package.,Shipping Delay
Ane got attitude from the representative.,Customer Service Issue
The detail I received have scratch.,Product Defect
The legal transfer appointment was changed without poster.,Shipping Delay
The sewing motorcar jams invariably.,Product Defect
I receive unprofessional responses from backing.,Customer Service Issue
The shipping is claim often longer than expected.,Shipping Delay
The tracking number hasn’t updated since Monday.,Shipping Delay
I felt disrespected by the staff.,Customer Service Issue
The agent rushed through with the birdsong and didn ’ tonne help.,Customer Service Issue
The broker rushed through the call and didn ’ mt aid.,Customer Service Issue
The smartwatch battery drains in an hour.,Product Defect
Your agent represent rude on the telephone.,Customer Service Issue
I needed this for a birthday tomorrow and it hasn't shipped yet.,Shipping Delay
I was hung up on while explaining my trouble.,Customer Service Issue
The courier hold delaying my bundle.,Shipping Delay
My card live charged still though the order failed.,Billing Issue
I found a tear in the fabric of the sofa.,Product Defect
My refund was deducted incorrectly.,Billing Issue
My order is stuck in transit.,Shipping Delay
The shipment bread and butter getting rescheduled.,Shipping Delay
I am very frustrated with the lack of communication.,Customer Service Issue
Delivery is taking way longer than the estimated time.,Shipping Delay
The refund you process is wrong.,Billing Issue
I received unprofessional reception from reinforcement.,Customer Service Issue
My credit carte du jour was charge merely the order didn ' deoxythymidine monophosphate go through.,Billing Issue
Atomic number 53 was promised a callback simply never receive one.,Customer Service Issue
Single was commit doubly on my credit card.,Billing Issue
Your financial support agent was rude to me.,Customer Service Issue
I paid for express merchant marine but information technology ' s be a calendar week.,Shipping Delay
The zipper on this jacket broke the beginning metre I utilise information technology.,Product Defect
I need a transcript of the reception for revenue enhancement intention.,Billing Issue
The item go far with a monolithic crack downhearted the center.,Product Defect
My headphones make electrostatic noise.,Product Defect
My bill increased this calendar month for no reason.,Billing Issue
My order is marked delivered but nothing arrived.,Shipping Delay
I had to explain my problem multiple time to unlike agents.,Customer Service Issue
The battery charger overheats and doesn ' t workplace.,Product Defect
My package stock still hasn ' t arrived after 10 twenty four hours.,Shipping Delay
The chat agent ignored my question.,Customer Service Issue
1 was charged twice for my subscription.,Billing Issue
I received a notification that it was delivered but I have nothing.,Shipping Delay
The package went to the wrong distribution center.,Shipping Delay
I receive a notification that it was delivered but Unity make cypher.,Shipping Delay
They closed my ticket without solving the issue.,Customer Service Issue
The rescue date was changed without observance.,Shipping Delay
The representative hung up on me.,Customer Service Issue
It follow impossible to extend to a material person at this company.,Customer Service Issue
My payment didn’t go through but my bank was charged.,Billing Issue
The support team is non responding to my emails.,Customer Service Issue
Worst customer support experience I have ever had.,Customer Service Issue
The audio calibre is fearful there make up a constant buzzing strait.,Product Defect
My delivery was postponed twice.,Shipping Delay
The messenger fall behind my package.,Shipping Delay
The piece of land is sting in impost.,Shipping Delay
I paid for express shipping merely it ' s constitute a week.,Shipping Delay
I canceled already but I'm still being billed.,Billing Issue
I was promised a callback but never received one.,Customer Service Issue
Your faculty collapse me completely incorrect information.,Customer Service Issue
The parcel is stuck in customs.,Shipping Delay
My requital didn ’ t die through with but my depository financial institution was charged.,Billing Issue
Iodin make up charge twice for the same transaction.,Billing Issue
My order embody marked delivered but nothing get.,Shipping Delay
You bill me after Unity unsubscribed.,Billing Issue
They closed my ticket without solving the issue.,Customer Service Issue
The production arrive broken.,Product Defect
I cannot update my payment method acting on the hepatic portal vein.,Billing Issue
The screen do not turn on even after point.,Product Defect
The account amount doesn ' t match the price 1 check.,Billing Issue
I received a notification that information technology was deliver only I have nothing.,Shipping Delay
My refund was deduct incorrectly.,Billing Issue
The color is completely fade compared to what was advertize.,Product Defect
I haven ' t received any updates from the messenger.,Shipping Delay
The tracking hasn ' t update in a workweek.,Shipping Delay
They close my tag without solving the issue.,Customer Service Issue
The blender quit work after one role.,Product Defect
Atomic number 53 be billed an extra fee 1 didn ' t agree to.,Billing Issue
The representative I speak to was fantastically ill mannered and unhelpful.,Customer Service Issue
I hold off 45 minutes for someone to peck up.,Customer Service Issue
Atomic number 53 was charged twice on my cite wit.,Billing Issue
Miss several screws and parts from the loge.,Product Defect
The tracking number hasn ’ metric ton update since Monday.,Shipping Delay
Wherefore act the cost increase in my recurring bill?,Billing Issue
My delivery be postponed doubly.,Shipping Delay
The color is completely faded compared to what was advertised.,Product Defect
The keyboard keys equal cling.,Product Defect
One felt disrespect by the faculty.,Customer Service Issue
Your courier serving be implausibly slow.,Shipping Delay
Why is my parcel stuck at the distribution heart?,Shipping Delay
I had to explain my problem multiple times to different agents.,Customer Service Issue
The tracking identification number hasn ' t update in cinque days.,Shipping Delay
I ' ve been on hold for over xlv minutes!,Customer Service Issue
Unity wait 30 minutes on the headphone and nobody answered.,Customer Service Issue
Can you hold in the position of order # 12345? Information technology is very tardily.,Shipping Delay
I ' m be billed monthly but I only if signed up for test.,Billing Issue
My bill increased this month for no reason.,Billing Issue
Unity require this for a birthday tomorrow and it hasn ' t ship heretofore.,Shipping Delay
You bill pine tree state for the wrong item.,Billing Issue
My delivery was shelve double.,Shipping Delay
The billing date changed without informing me.,Billing Issue
The schmooze agent ignored my interrogation.,Customer Service Issue
Delivery is taking style longer than the estimated prison term.,Shipping Delay
Ane ' m being billed monthly just One only bless astir for trial.,Billing Issue
The audio quality is awful on that point be a constant buzzing phone.,Product Defect
Information technology stopped working after just ii sidereal day of use.,Product Defect
I keep obtain remove and no one helps.,Customer Service Issue
The agent wasn ' tetraiodothyronine knowing about the product.,Customer Service Issue
My order be stuck in transportation.,Shipping Delay
Why is my software system stuck at the dispersion mall?,Shipping Delay
The representative I speak to be incredibly crude and unhelpful.,Customer Service Issue
The chat support bot keep looping and acquire ' t link up me to a human.,Customer Service Issue
The smartwatch barrage drain in an hour.,Product Defect
I be hung upward on while explaining my problem.,Customer Service Issue
I waited forty five minute for individual to pick up.,Customer Service Issue
Iodine get a tear in the fabric of the sofa.,Product Defect
The shipment keeps getting reschedule.,Shipping Delay
It stopped working after just two days of use.,Product Defect
I was bill an extra fee One didn ' t agree to.,Billing Issue
Why is there a $10 mystery fee on my invoice?,Billing Issue
All the same waiting on the package I ordain deuce weeks ago.,Shipping Delay
The support team is not responding to my emails.,Customer Service Issue
Atomic number 53 comprise charge twice for the same transaction.,Billing Issue
My invoice increase this month for no reason.,Billing Issue
Why is there an additional service fee?,Billing Issue
I received unprofessional responses from support.,Customer Service Issue
I of the leg on the board is shorter than the others.,Product Defect
Your courier table service is implausibly dim.,Shipping Delay
I'm being billed monthly but I only signed up for trial.,Billing Issue
Why is there a $ 10 mystery story fee on my account?,Billing Issue
My carte du jour represent charged even though the order of magnitude failed.,Billing Issue
Please invalidate my subscription I don ' t require to be shoot once again.,Billing Issue
Your support agent was rude to me.,Customer Service Issue
Why is on that point an extra serve fee?,Billing Issue
The bill amount doesn ' t match the price I assure.,Billing Issue
